"Povpreène meseène plaèe pri pravnih osebah, obèine delovnega mesta, Slovenija, letno"

"OBÈINE";"Povpreèna meseèna bruto plaèa (EUR) 2023";"Povpreèna meseèna bruto plaèa (EUR) 2024";"Povpreèna meseèna bruto plaèa (EUR) 2025";"Povpreèna meseèna neto plaèa (EUR) 2023";"Povpreèna meseèna neto plaèa (EUR) 2024";"Povpreèna meseèna neto plaèa (EUR) 2025"
"Turnišèe";1699.00;1781.23;1894.56;1154.19;1173.06;1237.48
"Velenje";2077.94;2226.52;2360.00;1374.62;1438.68;1508.04
"Velika Polana";1751.63;1835.29;1900.94;1188.42;1207.51;1240.50
"Velike Lašèe";1758.52;1881.04;2004.86;1186.47;1233.67;1301.92
"Veržej";1981.95;2064.60;2200.19;1325.41;1347.13;1417.95
"Videm";1850.35;2033.14;2137.03;1228.10;1316.15;1371.31
"Vipava";1957.03;2064.61;2223.06;1310.60;1345.90;1434.68
"Vitanje";1817.44;1922.27;2075.41;1225.21;1261.21;1351.83
"Vodice";1786.29;1921.15;2078.92;1190.91;1243.59;1331.76
"Vojnik";1953.36;2096.93;2348.43;1292.96;1350.48;1520.77
"Vransko";1935.63;2044.97;2149.11;1297.35;1334.95;1386.24
"Vrhnika";2051.69;2194.98;2352.83;1357.81;1413.35;1498.72
"Vuzenica";2283.74;2407.14;2403.97;1506.43;1548.58;1534.36
"Zagorje ob Savi";1996.05;2153.37;2284.76;1324.55;1388.84;1467.08
"Zavrè";2030.70;2307.67;2473.12;1323.62;1434.72;1526.69
"Zreèe";2067.77;2256.13;2302.13;1359.64;1443.64;1470.92
"Žalec";2032.64;2199.17;2309.37;1344.89;1417.55;1474.33
"Železniki";2027.12;2147.37;2217.00;1348.55;1393.17;1429.86
"Žetale";1922.55;1968.27;2180.04;1285.25;1280.33;1410.85
"Žiri";2058.79;2152.54;2260.60;1371.33;1397.92;1454.02
"Žirovnica";2182.11;2519.30;2845.01;1435.39;1602.47;1770.51
"Žužemberk";1964.26;2081.38;2192.61;1308.89;1347.82;1407.45
